App starts at Sun Jun 10 16:12:47 2018

Tracking start as 42440 ms
time(ms),x,y,z
71227,-0.199,0.046,1.269
71265,-0.197,0.048,1.271
71301,-0.198,0.046,1.274
71336,-0.201,0.045,1.269
71366,-0.193,0.052,1.269
71398,-0.203,0.041,1.276
71428,-0.193,0.044,1.266
71462,-0.188,0.049,1.268
71503,-0.195,0.051,1.267
71532,-0.185,0.048,1.259
71563,-0.184,0.044,1.267
71598,-0.181,0.051,1.266
71629,-0.187,0.048,1.267
71662,-0.181,0.048,1.268
71697,-0.183,0.05,1.269
71731,-0.169,0.05,1.268
71764,-0.177,0.046,1.267
71798,-0.161,0.053,1.263
71830,-0.163,0.043,1.273
71863,-0.153,0.039,1.266
71898,-0.161,0.036,1.269
71933,-0.155,0.041,1.266
71965,-0.154,0.042,1.276
71998,-0.149,0.048,1.271
72029,-0.136,0.048,1.268
72062,-0.143,0.052,1.268
72099,-0.139,0.051,1.271
72133,-0.132,0.052,1.276
72165,-0.131,0.047,1.274
72197,-0.124,0.058,1.272
72230,-0.139,0.038,1.274
72261,-0.132,0.05,1.277
72298,-0.121,0.051,1.278
72338,-0.124,0.047,1.281
72366,-0.13,0.048,1.289
72399,-0.128,0.045,1.278
72427,-0.121,0.037,1.28
72461,-0.13,0.05,1.276
72503,-0.129,0.053,1.281
72534,-0.127,0.053,1.279
72561,-0.128,0.052,1.276
72591,-0.117,0.047,1.284
72628,-0.128,0.045,1.278
72663,-0.128,0.05,1.279
72698,-0.132,0.046,1.278
72731,-0.126,0.043,1.277
72769,-0.132,0.05,1.278
72797,-0.127,0.052,1.279
72828,-0.126,0.049,1.269
72863,-0.126,0.048,1.278
72896,-0.127,0.045,1.282
72931,-0.123,0.034,1.282
72961,-0.127,0.044,1.274
72994,-0.127,0.039,1.276
73029,-0.124,0.041,1.276
73064,-0.127,0.052,1.272
73097,-0.125,0.045,1.282
73135,-0.125,0.046,1.289
73164,-0.128,0.048,1.272
73194,-0.123,0.043,1.277
73229,-0.124,0.045,1.278
73262,-0.129,0.048,1.279
73301,-0.127,0.047,1.279
73333,-0.124,0.049,1.282
73361,-0.13,0.05,1.267
73394,-0.126,0.045,1.282
73429,-0.125,0.042,1.277
73466,-0.124,0.049,1.282
73494,-0.136,0.044,1.275
73532,-0.13,0.044,1.272
73563,-0.116,0.063,1.27
73593,-0.134,0.041,1.279
73626,-0.126,0.053,1.274
73662,-0.126,0.052,1.269
73693,-0.137,0.048,1.279
73728,-0.123,0.046,1.28
73761,-0.122,0.046,1.279
73792,-0.133,0.053,1.282
73827,-0.126,0.043,1.282
73861,-0.127,0.045,1.28
73897,-0.124,0.053,1.283
73928,-0.132,0.042,1.278
73962,-0.124,0.05,1.279
73992,-0.131,0.046,1.277
74024,-0.129,0.047,1.279
74060,-0.129,0.049,1.286
74103,-0.126,0.045,1.278
74132,-0.129,0.047,1.281
74164,-0.128,0.041,1.275
74191,-0.127,0.047,1.281
74226,-0.128,0.049,1.278
74263,-0.119,0.051,1.275
74297,-0.124,0.045,1.277
74328,-0.126,0.048,1.277
74365,-0.127,0.055,1.274
74393,-0.126,0.054,1.284
74425,-0.127,0.056,1.273
74462,-0.13,0.051,1.278
74496,-0.131,0.063,1.281
74528,-0.117,0.053,1.278
74564,-0.122,0.047,1.281
74594,-0.124,0.049,1.283
74625,-0.129,0.047,1.279
74659,-0.133,0.047,1.277
74695,-0.126,0.051,1.274
74728,-0.127,0.051,1.281
74759,-0.126,0.046,1.278
74822,-0.134,0.048,1.279
74858,-0.124,0.044,1.273
74898,-0.126,0.042,1.276
74929,-0.131,0.045,1.279
74957,-0.128,0.044,1.28
74992,-0.138,0.048,1.277
75023,-0.123,0.047,1.28
75062,-0.119,0.052,1.272
75093,-0.125,0.041,1.277
75125,-0.127,0.041,1.279
75157,-0.124,0.048,1.271
75193,-0.129,0.048,1.275
75225,-0.128,0.046,1.275
75257,-0.133,0.049,1.279
75294,-0.127,0.04,1.272
75328,-0.132,0.051,1.276
75356,-0.127,0.056,1.282
75393,-0.127,0.041,1.278
75424,-0.13,0.046,1.281
75463,-0.127,0.05,1.281
75494,-0.133,0.037,1.276
75530,-0.15,0.053,1.264
75562,-0.147,0.048,1.283
75592,-0.146,0.046,1.29
75624,-0.154,0.052,1.294
75662,-0.155,0.05,1.287
75696,-0.151,0.045,1.289
75727,-0.156,0.039,1.276
75761,-0.169,0.053,1.288
75790,-0.187,0.056,1.302
75824,-0.207,0.048,1.282
75863,-0.19,0.046,1.297
75898,-0.197,0.051,1.294
75926,-0.197,0.049,1.296
75963,-0.199,0.05,1.293
75992,-0.197,0.039,1.306
76027,-0.202,0.047,1.298
76063,-0.205,0.049,1.297
76100,-0.206,0.051,1.296
76129,-0.205,0.045,1.299
76162,-0.206,0.052,1.293
76191,-0.208,0.045,1.303
76226,-0.214,0.038,1.297
76264,-0.21,0.047,1.295
76294,-0.206,0.047,1.297
76327,-0.208,0.044,1.298
76361,-0.207,0.05,1.3
76393,-0.215,0.049,1.295
76427,-0.215,0.05,1.3
76463,-0.213,0.046,1.299
76498,-0.209,0.042,1.299
76526,-0.194,0.04,1.3
76563,-0.217,0.04,1.298
76594,-0.219,0.05,1.307
76625,-0.212,0.039,1.302
76662,-0.222,0.04,1.307
76694,-0.219,0.044,1.306
76729,-0.215,0.043,1.313
76762,-0.215,0.043,1.305
76793,-0.218,0.052,1.312
76826,-0.214,0.052,1.315
76863,-0.222,0.046,1.309
76897,-0.214,0.041,1.306
76937,-0.23,0.054,1.317
76965,-0.223,0.047,1.322
76994,-0.222,0.044,1.312
77029,-0.227,0.049,1.317
77062,-0.232,0.05,1.324
77096,-0.235,0.047,1.323
77133,-0.245,0.057,1.328
77164,-0.239,0.048,1.328
77192,-0.261,0.039,1.318
77230,-0.25,0.051,1.329
77262,-0.249,0.048,1.343
77294,-0.256,0.055,1.33
77332,-0.254,0.051,1.333
77365,-0.256,0.046,1.337
77393,-0.26,0.053,1.334
77431,-0.246,0.056,1.335
77461,-0.262,0.055,1.341
77494,-0.262,0.049,1.338
77533,-0.258,0.05,1.338
77564,-0.261,0.055,1.336
77595,-0.263,0.055,1.339
77629,-0.254,0.055,1.339
77661,-0.261,0.046,1.332
77694,-0.261,0.056,1.337
77734,-0.261,0.051,1.338
77763,-0.258,0.051,1.336
77792,-0.256,0.053,1.34
77829,-0.257,0.049,1.344
77863,-0.257,0.051,1.339
77899,-0.249,0.054,1.338
77932,-0.253,0.057,1.343
77963,-0.253,0.054,1.337
77992,-0.253,0.051,1.339
78029,-0.251,0.059,1.338
78064,-0.256,0.053,1.333
78097,-0.259,0.055,1.334
78134,-0.254,0.056,1.335
78164,-0.255,0.059,1.34
78198,-0.257,0.053,1.338
78232,-0.257,0.051,1.332
78262,-0.252,0.048,1.338
78301,-0.256,0.045,1.335
78334,-0.255,0.05,1.338
78364,-0.257,0.047,1.335
78399,-0.253,0.05,1.336
78431,-0.259,0.045,1.331
78461,-0.256,0.054,1.336
78502,-0.259,0.052,1.333
78538,-0.256,0.051,1.337
78564,-0.26,0.054,1.332
78597,-0.258,0.055,1.334
78629,-0.253,0.054,1.335
78660,-0.256,0.053,1.338
78702,-0.256,0.048,1.339
78732,-0.258,0.049,1.337
78765,-0.251,0.046,1.335
78797,-0.256,0.046,1.336
78828,-0.258,0.054,1.339
78867,-0.257,0.048,1.336
78897,-0.257,0.046,1.338
78931,-0.256,0.04,1.336
78961,-0.254,0.043,1.341
78996,-0.257,0.058,1.333
79033,-0.256,0.057,1.338
79062,-0.261,0.046,1.341
79096,-0.257,0.048,1.34
79131,-0.254,0.056,1.334
79165,-0.255,0.05,1.339
79198,-0.261,0.051,1.339
79230,-0.26,0.048,1.336
79260,-0.254,0.053,1.338
79298,-0.264,0.039,1.339
79336,-0.258,0.048,1.338
79369,-0.257,0.051,1.337
79398,-0.259,0.05,1.336
79429,-0.257,0.049,1.34
79466,-0.257,0.05,1.34
79502,-0.255,0.044,1.336
79532,-0.262,0.048,1.339
79567,-0.257,0.048,1.337
79597,-0.257,0.049,1.338
79627,-0.253,0.048,1.336
79668,-0.257,0.048,1.333
79699,-0.256,0.055,1.333
79732,-0.258,0.047,1.348
79768,-0.254,0.053,1.334
79797,-0.258,0.046,1.334
79831,-0.25,0.047,1.341
79866,-0.253,0.044,1.335
79898,-0.261,0.043,1.342
79932,-0.256,0.055,1.335
79966,-0.258,0.051,1.337
79998,-0.254,0.048,1.336
80028,-0.259,0.042,1.338
80063,-0.254,0.05,1.338
80098,-0.254,0.048,1.338
80136,-0.257,0.047,1.337
80170,-0.262,0.056,1.33
80197,-0.253,0.052,1.339
80227,-0.253,0.051,1.337
80266,-0.257,0.054,1.339
80300,-0.248,0.057,1.328
80332,-0.253,0.048,1.338
80368,-0.261,0.054,1.345
80397,-0.256,0.051,1.325
80430,-0.251,0.045,1.326
80468,-0.258,0.048,1.336
80501,-0.252,0.048,1.337
80534,-0.258,0.049,1.341
80566,-0.256,0.05,1.343
80597,-0.254,0.05,1.334
80637,-0.247,0.051,1.336
80668,-0.251,0.057,1.337
80699,-0.25,0.048,1.34
80735,-0.247,0.053,1.335
80770,-0.247,0.053,1.338
80802,-0.253,0.059,1.332
80833,-0.247,0.052,1.335
80864,-0.248,0.05,1.333
80899,-0.249,0.049,1.335
80940,-0.244,0.047,1.328
80970,-0.256,0.051,1.325
80998,-0.237,0.05,1.334
81033,-0.239,0.049,1.327
81064,-0.222,0.034,1.311
81102,-0.213,0.046,1.321
81135,-0.215,0.052,1.325
81166,-0.207,0.052,1.329
81196,-0.203,0.045,1.324
81232,-0.195,0.04,1.307
81266,-0.188,0.051,1.32
81298,-0.162,0.051,1.334
81333,-0.153,0.044,1.314
81368,-0.171,0.057,1.318
81397,-0.155,0.035,1.308
81432,-0.153,0.055,1.325
81465,-0.132,0.057,1.317
81496,-0.1,0.037,1.307
81534,-0.102,0.064,1.286
81569,-0.103,0.054,1.296
81600,-0.09,0.042,1.303
81633,-0.089,0.045,1.315
81665,-0.067,0.056,1.318
81700,-0.079,0.053,1.325
81738,-0.067,0.067,1.317
81766,-0.064,0.049,1.307
81796,-0.052,0.049,1.305
81833,-0.042,0.051,1.308
81864,-0.037,0.032,1.313
81903,-0.034,0.062,1.303
81934,-0.022,0.049,1.311
81971,-0.028,0.057,1.295
82004,-0.009,0.048,1.299
82031,-0.015,0.048,1.305
82061,-0.01,0.049,1.303
82091,-0.009,0.046,1.302
82118,-0.009,0.043,1.294
82148,0.001,0.05,1.298
82182,-0.001,0.056,1.302
82225,0.001,0.056,1.293
82257,-0.003,0.056,1.302
82284,0.006,0.06,1.291
82319,0.006,0.052,1.29
82349,0,0.075,1.281
82384,0.005,0.054,1.29
82419,0.002,0.053,1.29
82458,0.008,0.054,1.291
82484,0.007,0.046,1.299
82518,0.004,0.048,1.285
82549,0.01,0.057,1.289
82583,-0.001,0.048,1.276
82617,0.006,0.059,1.293
82654,0.007,0.048,1.289
82685,0.002,0.044,1.298
82717,0.008,0.053,1.291
82749,0.012,0.053,1.293
82782,0.011,0.057,1.291
82818,0.008,0.055,1.295
82852,0.005,0.055,1.29
82884,0.004,0.051,1.293
82917,0.009,0.06,1.286
82948,0.009,0.049,1.293
82985,0.006,0.052,1.295
83020,0.003,0.053,1.295
83060,0.005,0.049,1.294
83083,0.006,0.051,1.287
83118,0.006,0.052,1.288
83151,0.003,0.048,1.292
83182,0.005,0.048,1.29
83219,0.002,0.051,1.295
83252,0.001,0.055,1.308
83283,0.001,0.054,1.291
83314,0.004,0.051,1.296
83349,0.003,0.054,1.3
83384,0.012,0.053,1.295
83418,0.004,0.051,1.297
83453,0.012,0.05,1.292
83485,0.004,0.061,1.29
83512,0.004,0.051,1.295
83551,0.006,0.048,1.29
83583,0.006,0.049,1.293
83616,0.008,0.052,1.291
83654,0.008,0.051,1.292
83683,0.006,0.054,1.297
83713,0.001,0.048,1.292
83751,0.005,0.059,1.291
83783,0.006,0.055,1.286
83816,0.004,0.051,1.295
83852,0.006,0.055,1.297
83885,0.006,0.052,1.295
83915,0.003,0.05,1.291
83949,0.009,0.055,1.297
83985,0.018,0.043,1.286
84014,0.008,0.045,1.29
84055,0,0.055,1.291
84084,0.008,0.055,1.292
84114,0.01,0.05,1.294
84149,0.014,0.05,1.283
84180,0.018,0.049,1.289
84216,0.018,0.047,1.29
84248,0.013,0.045,1.294
84284,0.021,0.042,1.292
84312,0.03,0.05,1.286
84344,0.035,0.046,1.287
84384,0.061,0.071,1.276
84414,0.064,0.056,1.283
84451,0.052,0.038,1.301
84485,0.074,0.054,1.272
84513,0.073,0.041,1.296
84545,0.082,0.041,1.306
84581,0.1,0.041,1.27
84620,0.113,0.057,1.283
84649,0.097,0.045,1.272
84684,0.134,0.052,1.3
84712,0.144,0.061,1.286
84744,0.141,0.047,1.286
84783,0.16,0.068,1.289
84817,0.158,0.062,1.287
84848,0.155,0.065,1.285
84884,0.155,0.067,1.283
84913,0.163,0.069,1.283
84946,0.157,0.061,1.282
84983,0.156,0.059,1.281
85018,0.165,0.064,1.283
85048,0.157,0.064,1.286
85086,0.164,0.067,1.285
85113,0.158,0.066,1.284
85146,0.154,0.058,1.286
85184,0.15,0.064,1.293
85217,0.162,0.068,1.286
85250,0.164,0.065,1.281
85284,0.158,0.066,1.283
85314,0.167,0.066,1.28
85349,0.162,0.067,1.286
85381,0.159,0.068,1.285
85415,0.156,0.067,1.286
85448,0.16,0.065,1.282
85476,0.161,0.063,1.286
85513,0.148,0.064,1.293
85545,0.157,0.063,1.286
85583,0.159,0.061,1.29
85616,0.161,0.067,1.279
85649,0.157,0.054,1.279
85677,0.16,0.055,1.286
85713,0.167,0.068,1.29
85747,0.16,0.044,1.285
85778,0.159,0.06,1.279
85817,0.169,0.067,1.284
85848,0.157,0.047,1.283
85880,0.161,0.065,1.286
85917,0.157,0.057,1.291
85949,0.159,0.058,1.289
85979,0.159,0.055,1.286
86019,0.151,0.059,1.268
86048,0.162,0.059,1.288
86083,0.158,0.051,1.279
86113,0.169,0.05,1.28
86145,0.164,0.052,1.287
86178,0.163,0.051,1.286
86214,0.161,0.057,1.284
86250,0.169,0.057,1.283
86280,0.161,0.058,1.278
86312,0.159,0.056,1.285
86345,0.168,0.062,1.29
86377,0.165,0.055,1.284
86414,0.159,0.058,1.285
86451,0.16,0.055,1.285
86477,0.155,0.056,1.281
86510,0.16,0.065,1.283
86544,0.159,0.062,1.283
86580,0.16,0.061,1.284
86620,0.161,0.06,1.284
86650,0.161,0.057,1.287
86681,0.163,0.056,1.284
86709,0.155,0.064,1.281
86746,0.165,0.062,1.29
86780,0.161,0.058,1.286
86817,0.153,0.06,1.284
86850,0.159,0.06,1.286
86880,0.161,0.053,1.284
86908,0.159,0.062,1.282
86944,0.162,0.062,1.282
86979,0.161,0.064,1.283
87016,0.16,0.063,1.288
87050,0.159,0.054,1.29
87077,0.161,0.06,1.29
87108,0.154,0.068,1.286
87144,0.177,0.066,1.279
87182,0.162,0.06,1.288
87215,0.159,0.054,1.283
87251,0.165,0.06,1.282
87282,0.158,0.056,1.279
87310,0.161,0.057,1.288
87347,0.159,0.06,1.285
87377,0.164,0.062,1.278
87413,0.16,0.058,1.281
87449,0.161,0.06,1.285
87480,0.154,0.061,1.279
87510,0.163,0.058,1.288
87543,0.154,0.061,1.287
87578,0.159,0.058,1.291
87616,0.157,0.055,1.284
87646,0.156,0.064,1.284
87679,0.162,0.058,1.287
87711,0.167,0.059,1.282
87742,0.153,0.055,1.278
87781,0.151,0.06,1.285
87813,0.152,0.063,1.28
87845,0.16,0.054,1.283
87878,0.159,0.056,1.285
87910,0.162,0.061,1.287
87941,0.162,0.055,1.285
87980,0.158,0.064,1.286
88016,0.162,0.066,1.291
88043,0.164,0.062,1.28
88078,0.164,0.064,1.283
88111,0.157,0.061,1.289
88143,0.164,0.061,1.284
88179,0.17,0.057,1.287
88211,0.166,0.07,1.281
88245,0.166,0.074,1.296
88280,0.169,0.067,1.286
88310,0.166,0.069,1.273
88342,0.165,0.057,1.285
88380,0.164,0.061,1.288
88412,0.161,0.057,1.291
88446,0.157,0.058,1.286
88479,0.166,0.057,1.289
88511,0.164,0.061,1.291
88545,0.164,0.061,1.287
88576,0.166,0.068,1.281
88613,0.16,0.06,1.288
88642,0.163,0.054,1.283
88673,0.161,0.059,1.279
88709,0.157,0.054,1.285
88743,0.161,0.065,1.285
88775,0.165,0.06,1.285
88813,0.158,0.054,1.281
88844,0.157,0.06,1.29
88875,0.158,0.062,1.29
88908,0.165,0.06,1.292
88942,0.166,0.063,1.291
88977,0.166,0.062,1.281
89011,0.165,0.056,1.288
89045,0.163,0.057,1.278
89074,0.165,0.063,1.286
89109,0.168,0.063,1.287
89143,0.162,0.065,1.286
89180,0.164,0.066,1.289
89214,0.172,0.065,1.287
89244,0.163,0.061,1.289
89274,0.159,0.069,1.285
89308,0.168,0.063,1.286
89343,0.163,0.054,1.293
89409,0.168,0.057,1.286
89440,0.162,0.063,1.284
89473,0.162,0.06,1.284
89508,0.16,0.056,1.286
89542,0.161,0.059,1.282
89576,0.166,0.063,1.288
89613,0.156,0.065,1.288
89643,0.158,0.059,1.285
89672,0.156,0.059,1.282
89711,0.159,0.062,1.283
89741,0.156,0.061,1.285
89776,0.16,0.054,1.282
89811,0.165,0.058,1.285
89841,0.158,0.057,1.285
89875,0.164,0.062,1.283
89908,0.158,0.063,1.285
89942,0.158,0.059,1.276
89977,0.158,0.062,1.284
90013,0.134,0.041,1.296
90047,0.132,0.05,1.287
90075,0.127,0.05,1.286
90110,0.125,0.047,1.283
90141,0.117,0.048,1.278
90175,0.118,0.06,1.289
90214,0.114,0.052,1.286
90244,0.095,0.048,1.281
90272,0.082,0.046,1.283
90307,0.097,0.072,1.275
90341,0.071,0.029,1.282
90378,0.061,0.057,1.292
90411,0.048,0.071,1.296
90443,0.016,0.052,1.278
90474,0.04,0.045,1.263
90509,0.026,0.033,1.284
90545,0.017,0.059,1.259
90576,-0.005,0.053,1.284
90608,-0.032,0.052,1.276
90640,-0.041,0.069,1.262
90671,-0.06,0.074,1.276
90709,-0.056,0.047,1.274
90739,-0.055,0.05,1.259
90775,-0.064,0.051,1.264
90812,-0.063,0.048,1.27
90843,-0.068,0.049,1.259
90877,-0.059,0.055,1.271
90907,-0.071,0.049,1.258
90941,-0.068,0.045,1.27
90978,-0.064,0.052,1.267
91017,-0.069,0.039,1.269
91043,-0.067,0.045,1.272
91075,-0.069,0.049,1.269
91108,-0.07,0.047,1.269
91140,-0.068,0.05,1.267
91180,-0.07,0.044,1.265
91211,-0.069,0.05,1.274
91242,-0.065,0.05,1.26
91275,-0.069,0.053,1.269
91308,-0.058,0.054,1.266
91342,-0.066,0.051,1.268
91379,-0.066,0.055,1.263
91412,-0.07,0.049,1.265
91440,-0.066,0.049,1.271
91474,-0.066,0.041,1.27
91513,-0.066,0.053,1.269
91543,-0.069,0.044,1.278
91575,-0.068,0.052,1.266
91611,-0.068,0.042,1.263
91639,-0.069,0.045,1.268
91675,-0.069,0.049,1.266
91708,-0.066,0.046,1.271
91740,-0.073,0.041,1.264
91775,-0.061,0.051,1.269
91812,-0.079,0.049,1.262
91840,-0.066,0.047,1.269
91877,-0.071,0.046,1.266
91909,-0.065,0.044,1.268
91943,-0.064,0.051,1.269
91977,-0.066,0.054,1.267
92015,-0.066,0.051,1.271
92041,-0.07,0.057,1.268
92077,-0.065,0.044,1.268
92109,-0.066,0.05,1.268
92144,-0.064,0.04,1.269
92182,-0.068,0.048,1.268
92212,-0.066,0.047,1.266
92246,-0.061,0.049,1.27
92274,-0.067,0.052,1.27
92306,-0.067,0.047,1.268
92344,-0.057,0.064,1.262
92378,-0.067,0.044,1.273
92411,-0.05,0.051,1.278
92446,-0.069,0.045,1.271
92476,-0.064,0.052,1.268
92507,-0.068,0.05,1.262
92545,-0.063,0.042,1.269
92577,-0.066,0.053,1.274
92611,-0.064,0.044,1.266
92646,-0.06,0.049,1.27
92675,-0.056,0.036,1.268
92707,-0.06,0.046,1.267
92742,-0.064,0.048,1.262
92777,-0.062,0.048,1.268
92812,-0.065,0.046,1.266
92847,-0.056,0.057,1.261
92876,-0.075,0.046,1.273
92908,-0.065,0.052,1.262
92944,-0.071,0.05,1.265
92978,-0.069,0.04,1.265
93010,-0.068,0.046,1.267
93045,-0.07,0.052,1.269
93076,-0.067,0.054,1.268
93108,-0.069,0.05,1.265
93142,-0.069,0.045,1.26
93178,-0.07,0.044,1.271
93212,-0.071,0.046,1.269
93247,-0.076,0.047,1.272
93277,-0.083,0.04,1.274
93307,-0.072,0.039,1.268
93347,-0.075,0.046,1.264
93376,-0.064,0.054,1.246
93413,-0.083,0.051,1.269
93447,-0.087,0.059,1.27
93476,-0.087,0.046,1.273
93510,-0.091,0.056,1.276
93543,-0.1,0.047,1.272
93576,-0.099,0.051,1.276
93617,-0.121,0.057,1.266
93647,-0.109,0.056,1.267
93675,-0.133,0.036,1.27
93710,-0.126,0.058,1.274
93744,-0.136,0.053,1.273
93784,-0.136,0.05,1.261
93815,-0.151,0.057,1.274
93846,-0.151,0.061,1.271
93877,-0.157,0.055,1.273
93912,-0.163,0.047,1.276
93946,-0.182,0.06,1.292
93978,-0.156,0.03,1.279
94015,-0.168,0.054,1.282
94047,-0.179,0.046,1.28
94075,-0.188,0.046,1.276
94112,-0.185,0.053,1.286
94144,-0.189,0.04,1.279
94179,-0.2,0.047,1.287
94212,-0.193,0.043,1.288
94245,-0.199,0.048,1.286
94273,-0.2,0.038,1.291
94314,-0.218,0.048,1.295
94344,-0.215,0.045,1.283
94377,-0.213,0.042,1.285
94413,-0.215,0.05,1.287
94447,-0.224,0.043,1.294
94475,-0.241,0.046,1.296
94511,-0.235,0.042,1.3
94546,-0.224,0.054,1.311
94577,-0.246,0.046,1.305
94614,-0.248,0.048,1.307
94646,-0.248,0.044,1.309
94681,-0.273,0.042,1.327
94714,-0.259,0.048,1.315
94744,-0.257,0.054,1.318
94781,-0.264,0.046,1.32
94816,-0.276,0.045,1.316
94846,-0.277,0.043,1.325
94880,-0.273,0.048,1.327
94915,-0.277,0.05,1.335
94945,-0.283,0.058,1.332
94980,-0.285,0.056,1.332
95017,-0.29,0.052,1.331
95050,-0.294,0.047,1.328
95081,-0.291,0.044,1.333
95111,-0.288,0.047,1.331
95147,-0.291,0.055,1.323
95182,-0.293,0.054,1.327
95217,-0.293,0.05,1.331
95248,-0.295,0.052,1.33
95282,-0.292,0.051,1.323
95313,-0.289,0.056,1.326
95345,-0.286,0.051,1.329
95383,-0.295,0.05,1.333
95419,-0.291,0.052,1.33
95447,-0.291,0.048,1.326
95481,-0.292,0.052,1.33
95512,-0.297,0.048,1.333
95543,-0.288,0.057,1.329
95582,-0.287,0.05,1.317
95617,-0.285,0.057,1.333
95648,-0.286,0.05,1.334
95680,-0.286,0.051,1.327
95711,-0.284,0.048,1.328
95745,-0.287,0.052,1.327
95781,-0.283,0.049,1.333
95818,-0.289,0.048,1.325
95850,-0.286,0.059,1.336
95881,-0.285,0.053,1.329
95915,-0.286,0.057,1.331
95949,-0.286,0.05,1.33
95979,-0.283,0.047,1.328
96014,-0.287,0.054,1.328
96051,-0.286,0.057,1.328
96081,-0.29,0.052,1.318
96114,-0.292,0.055,1.329
96150,-0.293,0.053,1.332
96180,-0.287,0.055,1.327
96213,-0.289,0.047,1.331
96252,-0.29,0.052,1.327
96283,-0.294,0.055,1.328
96311,-0.29,0.055,1.324
96348,-0.286,0.049,1.329
96382,-0.289,0.053,1.327
96413,-0.287,0.05,1.327
96452,-0.292,0.057,1.327
96482,-0.28,0.051,1.331
96512,-0.294,0.046,1.331
96548,-0.286,0.053,1.329
96580,-0.284,0.052,1.334
96616,-0.296,0.049,1.333
96635,-0.29,0.047,1.327
96664,-0.29,0.043,1.331
96699,-0.288,0.05,1.328
96736,-0.272,0.049,1.327
96770,-0.281,0.048,1.334
96799,-0.287,0.049,1.323
96834,-0.29,0.051,1.33
96864,-0.29,0.049,1.333
96897,-0.289,0.05,1.328
96933,-0.283,0.05,1.329
96971,-0.284,0.054,1.327
96999,-0.285,0.054,1.329
97033,-0.285,0.052,1.329
97064,-0.283,0.052,1.33
97099,-0.284,0.052,1.329
97133,-0.289,0.06,1.332
97172,-0.29,0.051,1.327
97200,-0.287,0.059,1.325
97229,-0.288,0.05,1.329
97266,-0.287,0.052,1.331
97297,-0.291,0.048,1.331
97335,-0.288,0.06,1.327
97369,-0.291,0.053,1.327
97397,-0.289,0.049,1.327
97428,-0.289,0.049,1.332
97464,-0.301,0.043,1.337
97501,-0.285,0.063,1.33
97533,-0.281,0.054,1.327
97569,-0.289,0.052,1.334
97599,-0.289,0.054,1.326
97628,-0.29,0.053,1.328
97667,-0.289,0.054,1.331
97702,-0.291,0.055,1.332
97733,-0.288,0.055,1.325
97768,-0.289,0.049,1.33
97798,-0.275,0.046,1.324
97829,-0.286,0.054,1.333
97864,-0.292,0.056,1.325
97901,-0.287,0.053,1.33
97932,-0.295,0.054,1.33
97970,-0.289,0.052,1.328
97998,-0.287,0.05,1.338
98029,-0.283,0.05,1.331
98065,-0.29,0.046,1.328
98097,-0.289,0.054,1.335
98135,-0.282,0.044,1.331
98161,-0.287,0.046,1.329
98202,-0.287,0.048,1.334
98228,-0.271,0.044,1.318
98262,-0.277,0.051,1.328
98304,-0.273,0.047,1.341
98334,-0.275,0.045,1.339
98365,-0.268,0.051,1.343
98399,-0.273,0.051,1.338
98431,-0.263,0.046,1.337
98466,-0.26,0.05,1.343
98500,-0.254,0.044,1.345
98534,-0.253,0.049,1.349
98562,-0.264,0.039,1.344
98597,-0.242,0.062,1.345
98632,-0.249,0.055,1.351
98663,-0.25,0.045,1.363
98697,-0.245,0.049,1.362
98732,-0.248,0.051,1.365
98764,-0.237,0.061,1.372
98799,-0.241,0.054,1.374
98830,-0.23,0.048,1.363
98864,-0.224,0.047,1.378
98899,-0.231,0.048,1.363
98936,-0.228,0.053,1.369
98961,-0.232,0.056,1.372
98998,-0.227,0.047,1.373
99029,-0.235,0.055,1.369
99062,-0.235,0.052,1.37
99097,-0.231,0.055,1.368
99135,-0.236,0.059,1.373
99166,-0.231,0.048,1.37
99197,-0.23,0.052,1.368
99228,-0.233,0.051,1.37
99263,-0.231,0.05,1.37
99303,-0.23,0.045,1.372
99336,-0.232,0.05,1.365
99363,-0.23,0.044,1.371
99391,-0.225,0.061,1.375
99428,-0.227,0.054,1.369
99461,-0.236,0.059,1.366
99500,-0.233,0.057,1.37
99533,-0.224,0.054,1.364
99562,-0.24,0.051,1.357
99592,-0.23,0.05,1.366
99630,-0.229,0.053,1.371
99665,-0.24,0.053,1.368
99697,-0.232,0.053,1.367
99733,-0.228,0.045,1.372
99762,-0.23,0.048,1.369
99793,-0.225,0.048,1.369
99831,-0.23,0.052,1.374
99863,-0.231,0.061,1.368
99895,-0.229,0.058,1.364
99930,-0.227,0.056,1.374
99965,-0.226,0.046,1.369
99992,-0.22,0.05,1.359
100028,-0.228,0.053,1.37
100062,-0.228,0.051,1.371
100094,-0.233,0.051,1.37
100136,-0.225,0.05,1.359
100163,-0.234,0.048,1.366
100194,-0.225,0.058,1.373
100229,-0.225,0.043,1.368
100260,-0.22,0.05,1.37
100301,-0.226,0.048,1.371
100330,-0.229,0.048,1.373
100364,-0.227,0.051,1.369
100392,-0.232,0.054,1.371
100425,-0.219,0.07,1.384
100460,-0.224,0.041,1.368
100499,-0.23,0.054,1.363
100528,-0.23,0.051,1.366
100562,-0.225,0.053,1.365
100593,-0.227,0.052,1.368
100626,-0.215,0.051,1.37
100662,-0.221,0.05,1.379
100694,-0.232,0.045,1.367
100731,-0.224,0.054,1.368
100762,-0.235,0.053,1.368
100791,-0.232,0.044,1.367
