App starts at Sun Jun 10 16:12:47 2018

Tracking start as 42440 ms
time(ms),x,y,z
49135,-0.17,0.029,0.778
49164,-0.172,0.029,0.778
49192,-0.178,0.033,0.779
49230,-0.169,0.035,0.777
49265,-0.169,0.028,0.776
49295,-0.171,0.026,0.774
49332,-0.179,0.028,0.776
49364,-0.172,0.025,0.781
49393,-0.174,0.032,0.785
49429,-0.181,0.023,0.784
49461,-0.167,0.032,0.772
49497,-0.17,0.03,0.779
49534,-0.171,0.026,0.778
49562,-0.165,0.041,0.774
49591,-0.173,0.024,0.783
49628,-0.174,0.029,0.776
49660,-0.177,0.034,0.781
49697,-0.173,0.026,0.777
49732,-0.169,0.026,0.775
49760,-0.172,0.032,0.778
49793,-0.174,0.035,0.779
49829,-0.17,0.03,0.784
49860,-0.169,0.029,0.78
49898,-0.177,0.03,0.781
49936,-0.18,0.029,0.78
49963,-0.179,0.031,0.78
49998,-0.175,0.03,0.788
50029,-0.17,0.019,0.774
50060,-0.174,0.024,0.782
50104,-0.177,0.032,0.781
50133,-0.175,0.031,0.78
50171,-0.17,0.03,0.78
50202,-0.176,0.029,0.78
50232,-0.18,0.028,0.779
50265,-0.173,0.031,0.778
50299,-0.177,0.024,0.778
50334,-0.177,0.029,0.774
50368,-0.175,0.025,0.779
50400,-0.172,0.014,0.776
50432,-0.175,0.028,0.774
50466,-0.176,0.03,0.772
50502,-0.176,0.026,0.775
50536,-0.172,0.031,0.781
50567,-0.175,0.03,0.774
50603,-0.171,0.023,0.782
50633,-0.173,0.028,0.778
50664,-0.173,0.035,0.783
50699,-0.174,0.024,0.778
50740,-0.178,0.018,0.773
50767,-0.165,0.025,0.776
50801,-0.175,0.028,0.783
50833,-0.175,0.034,0.78
50863,-0.166,0.033,0.787
50902,-0.173,0.024,0.781
50935,-0.169,0.023,0.778
50965,-0.17,0.027,0.776
51003,-0.167,0.029,0.77
51034,-0.165,0.022,0.774
51064,-0.175,0.028,0.781
51099,-0.174,0.026,0.782
51134,-0.173,0.027,0.768
51170,-0.173,0.025,0.782
51202,-0.171,0.029,0.781
51233,-0.173,0.027,0.779
51266,-0.173,0.023,0.775
51300,-0.167,0.024,0.778
51334,-0.174,0.035,0.775
51374,-0.175,0.029,0.777
51404,-0.171,0.028,0.775
51434,-0.179,0.036,0.781
51469,-0.179,0.031,0.78
51502,-0.178,0.024,0.776
51539,-0.173,0.023,0.781
51571,-0.175,0.029,0.775
51604,-0.172,0.028,0.779
51632,-0.176,0.023,0.778
51669,-0.173,0.023,0.784
51705,-0.173,0.027,0.776
51736,-0.174,0.026,0.78
51771,-0.169,0.026,0.773
51802,-0.177,0.028,0.78
51833,-0.175,0.025,0.785
51868,-0.176,0.025,0.778
51900,-0.179,0.023,0.78
51933,-0.165,0.026,0.779
51971,-0.174,0.024,0.782
52000,-0.173,0.027,0.78
52036,-0.174,0.024,0.774
52068,-0.173,0.017,0.769
52103,-0.173,0.027,0.775
52136,-0.165,0.018,0.793
52173,-0.176,0.032,0.782
52201,-0.177,0.026,0.77
